,model,formula,lam(dis),SElam(dis),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),lam(PAsize),SElam(PAsize),lam(pop3000.s),SElam(pop3000.s),lam(punish),SElam(punish),lam(reach),SElam(reach),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt
,,,6.20542E-06,0.000151559,0.000360519,0.00022059,-0.001221449,0.000277818,0,0,-0.000607525,0.000416437,0,0,0,0,-0.000852066,0.000658776,0.042025528,8.499037786,,,,,,,,,,,,
,,,5.14843E-05,0.000111346,0.000373917,0.000151135,-0.000786835,0.000167663,0,0,0,0,0,0,0,0,-0.000523712,0.000690219,0.002200215,0.020966223,,,,,,,,,,,,
,,,0,0,0,0,-5.01953E-05,1.09313E-05,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sum,-0.534021909,0.291357118,0.832120826,0.345831571,-5.064913368,2.210682711,0.121291734,0.24386746,-0.078891651,0.28259583,5.601201964,3.997355869,-8.014176907,4.284681885,-1.098380101,1.408248021,36.84358676,8678.667029,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,SE,0.95CI,low,up,,,,,,,,,,,,,,,,,,,,,,,,,
,,Distance,-0.534,0.291,0.568,-1.102,0.034,,,,,,,,,,,,,,,,,,,,,,,,,
,,Elevation,0.832,0.346,0.674,0.158,1.506,*,,,,,,,,,,,,,,,,,,,,,,,,
,,Pasize,0.121,0.244,0.476,-0.354,0.597,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human density,-0.079,0.283,0.551,-0.630,0.472,,,,,,,,,,,,,,,,,,,,,,,,,
,,Punishment,5.601,3.997,7.795,-2.194,13.396,,,,,,,,,,,,,,,,,,,,,,,,,
,,Outreach,-8.014,4.285,8.355,-16.369,0.341,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cam_angle,-1.098,1.408,2.746,-3.844,1.648,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cam hours,36.844,8678.667,16923.401,-16886.557,16960.244,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Species,(0.95 CI),(0.95 CI), (0.95 CI),(0.95 CI),(0.95 CI),(0.95 CI), (0.95 CI),(0.95 CI)  ,,,,,,,,,,,,,,,,,,,,,,
,,Wild boar,"-0.094(-0.383,","0.756(0.360,",0.390(0.117,-0.062(-0.338,"0.436(0.058, 0.813)","2.946(0.348,","0.067(-0.088, 0.221)","0.317(-0.188, 0.822)",,,,,,,,,,,,,,,,,,,,,,
,,,0.195),1.153),", 0.662)",", 0.214)",,5.544),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Muntjac,"0.292(-0.020,0.604)","1.330(0.783,1.877)","-0.014(-0.292,0.263)","0.194(-0.198,0.585)","0.683(0.257,1.109)","4.643(0.975,8.311)","-0.035(-0.144, 0.074)","1.097(0.562,1.632)",,,,,,,,,,,,,,,,,,,,,,
,,Masked palm civet,"0.145(-0.408,0.699)","-0.424(-0.952,0.103)","0.473(-0.187,1.134)","0.212(-0.140,0.563)","0.271(-2.461,3.003)","0.271(-2.461,3.003)","6.497(-145.607,158.601)","10.291(-105.276,125.858)",,,,,,,,,,,,,,,,,,,,,,
,,Common palm civet,"0.832(0.158,1.506)","0.121(-0.354,0.597)","-0.534(-1.102,0.034)","-0.079(-0.630,0.472)","-8.014(-16.369,0.341)","5.601(-2.194,13.396)","36.844(-16886.557,16960.244)",")-1.098(-3.844,1.648)",,,,,,,,,,,,,,,,,,,,,,
