"","pas","abundance","SE","lowCI","hiCI"
"1","bulangshan",0.542062961070039,0.251793102653734,0.04854847986872,1.03557744227136
"2","mangao",0.718989326439662,0.519115936548801,-0.298477909195988,1.73645656207531
"3","mengla",0.453130072545887,0.25708780859276,-0.0507620322959229,0.957022177387697
"4","menglun",0.629905082356778,0.629484244506502,-0.603884036875967,1.86369420158952
"5","mengsong",0.69816385448044,0.44999026124143,-0.183817057552764,1.58014476651364
"6","nabanhe",2.58321622692314,1.53523257445538,-0.425839619009412,5.59227207285569
