,model,formula,lam(dis),SElam(dis),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),lam(PAsize),SElam(PAsize),lam(pop3000.s),SElam(pop3000.s),lam(punish),SElam(punish),lam(reach),SElam(reach),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt
,,,3.25653E-08,5.03477E-09,-8.35421E-09,7.60301E-09,2.16309E-08,8.0156E-09,0,0,-1.78614E-09,7.4737E-09,0,0,0,0,-8.38323E-09,7.44633E-09,3.54587E-09,4.07343E-09,,,,,,,,,,,,
,,,0,0,7.60565E-17,3.449E-17,9.71733E-17,4.17436E-17,0,0,0,0,0,0,0,0,-4.93154E-17,3.5128E-17,2.12579E-17,2.43222E-17,,,,,,,,,,,,
,,,0,0,0,0,4.85768E-17,1.99439E-17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sum,0.38953551,0.139947573,-0.094114163,0.148326601,0.167544193,0.233375055,0.756499822,0.203558911,-0.062127806,0.141400885,2.945895151,1.332485015,0.435549857,0.193810511,0.317164158,0.259104807,0.066524351,0.079044545,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,SE,0.95CI,low,up,,,,,,,,,,,,,,,,,,,,,,,,,
,,Distance,0.38953551,0.139947573,0.272897768,0.116637742,0.662433278,,,,,,,,,,,,,,,,,,,,,,,,,
,,Elevation,-0.094114163,0.148326601,0.289236872,-0.383351035,0.195122709,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pasize,0.756499822,0.203558911,0.396939877,0.359559945,1.153439699,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human density,-0.062127806,0.141400885,0.275731725,-0.337859532,0.213603919,,,,,,,,,,,,,,,,,,,,,,,,,
,,Punishment,2.945895151,1.332485015,2.59834578,0.347549371,5.544240931,,,,,,,,,,,,,,,,,,,,,,,,,
,,Outreach,0.435549857,0.193810511,0.377930497,0.057619359,0.813480354,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cam_angle,0.317164158,0.259104807,0.505254373,-0.188090216,0.822418531,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cam hours,0.066524351,0.079044545,0.154136862,-0.087612511,0.220661213,,,,,,,,,,,,,,,,,,,,,,,,,
