"","model","formula","lam(dis)","SElam(dis)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(parkmangao)","SElam(parkmangao)","lam(parkmengla)","SElam(parkmengla)","lam(parkmenglun)","SElam(parkmenglun)","lam(parkmengsong)","SElam(parkmengsong)","lam(parknabanhe)","SElam(parknabanhe)","lam(PAsize)","SElam(PAsize)","lam(pop3000.s)","SElam(pop3000.s)","lam(punish)","SElam(punish)","lam(reach)","SElam(reach)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"3","m003~commonpalmcivet~ele.s + dis","~camhours + cam_angle ~ ele.s + dis + park",0.401083821941575,0.136473299239983,-0.0901827659106909,0.142139378619799,0.439845295581932,0.262407354317302,-21.4545115867229,4194.62764794389,0.500287779209168,0.331267669091025,-9.66539606913439,52.1012896464426,-0.576189786750606,0.550444514532296,0.900883713081126,0.311094068495908,NA,NA,NA,NA,NA,NA,NA,NA,0.374400727817897,0.257003524035634,0.066083299480644,0.0789783095762743,-4.75536597831968,0.301111856133193,0,9505691235.58778,1234.22359260892,11,115,2490.44718521784,0,0.580806312416624,NA,0.580806312416624
"4","m005~commonpalmcivet~ele.s + dis + PAsize ","~camhours + cam_angle ~ ele.s + dis + PAsize + park",0.400982989202243,0.136481492169989,-0.0900490185682622,0.142153702829551,1.24486204660508,2613.87869015726,-7.11591835308428,2736.23499342161,-2.83107955076264,10811.451070019,-6.53565564125137,3758.12668388938,0.14597493737033,2342.85678111115,0.821766872885537,255.57922672249,1.75821022902803,5705.97727732635,NA,NA,NA,NA,NA,NA,0.373946170089614,0.257052249698892,0.0661201611884497,0.0789849651833002,-4.75439444499101,0.301125819599084,0,117695942721.628,1234.22890658718,12,115,2492.45781317435,2.01062795651296,0.212534292896523,NA,0.793340605313147
"6","m008~commonpalmcivet~ele.s + dis + reach + punish","~camhours + cam_angle ~ ele.s + dis + reach + punish + park",0.401074307965259,0.136478098585981,-0.0902088962631529,0.142146159699549,0.0447564980321164,1493.34722559949,-6.96543909795491,1740.10674543995,1.47542979259462,1082.48171288274,-5.17550310943076,2300.60701682758,-1.8703949670232,740.591405616385,-1.0634244789269,9383.19279905003,NA,NA,NA,NA,5.29130927077199,3952.41195679412,0.630194860369426,4192.10047637429,0.374306003804083,0.257023417189631,0.0660945518761451,0.0789796831673896,-4.75502008062481,0.301129849622342,0,63370893696.0284,1234.22517228787,13,115,2494.45034457574,4.00315935790195,0.0784795163864907,NA,0.871820121699638
"7","m009~commonpalmcivet~ele.s + dis + pop3000.s + reach + punish","~camhours + cam_angle ~ ele.s + dis + pop3000.s + reach + punish + park",0.45153855903016,0.143893576339018,-0.0525149101741889,0.146730947573302,0.0560372892653007,NA,-8.48801189588566,NA,2.42967838915567,NA,-15.2267440881926,NA,-3.34265106400508,NA,-3.59664362539865,NA,NA,NA,0.839027672279626,0.712016691937019,10.6433330938172,NA,0.971333902754451,NA,0.339675148432713,0.259751794931711,0.0653799482435559,0.0789873149948508,-4.72686758285041,0.303199030206965,0,-6775575462.86538,1233.51030815278,14,115,2495.02061630556,4.57343108771875,0.0590096971029783,NA,0.930829818802616
"5","m007~commonpalmcivet~ele.s + dis + PAsize + reach + punish","~camhours + cam_angle ~ ele.s + dis + PAsize + reach + punish + park",0.401066807750134,0.136472054570428,-0.0901812118285908,0.142139063791438,1.27096651016491,747.351645457887,-6.86657547959458,NA,-3.81448698054094,448.249686651185,-10.9764525267782,2542.14806552912,-1.52078765782778,763.172031008072,-3.03083940528946,1145.09943056834,3.19457871736926,370.291897335901,NA,NA,9.13735108772645,NA,1.26150755893284,NA,0.374387939473642,0.257003368540289,0.0660845221441663,0.0789787296992342,-4.75536348655416,0.301114495129157,0,-17557470969.3435,1234.22324896431,14,115,2496.44649792862,5.99931271078049,0.0289265823410758,NA,0.959756401143692
"8","m010~commonpalmcivet~ele.s + dis + PAsize + pop3000.s + reach + punish","~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s + reach + punish + park",0.45198203550942,0.143926801603064,-0.0528325225128548,0.146737232675632,1.55388943188686,1012.69415575313,-5.52271710675956,NA,-3.34417723255501,4006.95079133402,-10.1706855011431,NA,-1.56071795908108,1396.71725082258,-2.90233600104754,NA,2.80397200693405,1848.9670152848,0.839868429198068,0.712019502278673,8.04004463239047,1141.52232438869,0.724462638529927,NA,0.339770345003565,0.259745838346141,0.0653747059697624,0.0789887085147194,-4.72705222621807,0.303196163522071,0,-7019416624.41464,1233.51064296129,15,115,2497.02128592258,6.57410070474316,0.0217011874352095,NA,0.981457588578901
"2","m002~commonpalmcivet~ele.s","~camhours + cam_angle ~ ele.s + park",NA,NA,0.169323970714832,0.11460959538097,0.100643345687509,0.247217338875875,-14.313249188871,457.636138590965,1.10341176979018,0.252361058242445,-11.9794729378518,208.160089294394,-0.734720268934724,0.545431397444267,1.30241843611938,0.294618542160994,NA,NA,NA,NA,NA,NA,NA,NA,0.393765806788039,0.256066471997205,0.0654810968435951,0.0787723467995292,-4.71239802249456,0.292014533381132,0,87453389.5346091,1238.66794932332,10,115,2497.33589864663,6.88871342878929,0.0185424114210986,NA,1
"1","m001~commonpalmcivet~~","~1 ~ 1",NA,NA,NA,NA,0.31952903869708,0.131187111853389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.95492956931996,0.111382206096567,0,5.0600357845404,1281.05976296713,2,115,2566.11952593425,75.6723407164109,2.14778757116125e-17,NA,1
