,model,formula,lam(dis),SElam(dis),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),lam(PAsize),SElam(PAsize),lam(pop3000.s),SElam(pop3000.s),lam(punish),SElam(punish),lam(reach),SElam(reach),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt
,,,0,0,0,0,-0.001675356,0.00073137,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0.00059279,0.000306547,-2.67179E-05,0.000199964,-0.000576969,0.000312162,-0.000771368,0.000351092,0,0,0,0,0,0,-5.36011E-05,0.000130713,0.002557004,0.01905435,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sum,0.473121875,0.338689811,0.145099693,0.283870439,-0.329409405,0.425376027,-0.424343086,0.27060894,0.211572119,0.180277989,0.271053495,1.40092794,0.499263146,0.266634308,10.29133062,59.26509007,6.496946909,78.00209999,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,SE,0.95CI,low,up,,,,,,,,,,,,,,,,,,,,,,,,,
,,Distance,0.473121875,0.338689811,0.660445132,-0.187323257,1.133567007,,,,,,,,,,,,,,,,,,,,,,,,,
,,Elevation,0.145099693,0.283870439,0.553547355,-0.408447662,0.698647048,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pasize,-0.424343086,0.27060894,0.527687432,-0.952030518,0.103344346,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human density,0.211572119,0.180277989,0.351542078,-0.139969959,0.563114198,,,,,,,,,,,,,,,,,,,,,,,,,
,,Punishment,0.271053495,1.40092794,2.731809482,-2.460755987,3.002862978,,,,,,,,,,,,,,,,,,,,,,,,,
,,Outreach,0.499263146,0.266634308,0.5199369,-0.020673755,1.019200046,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cam_angle,10.29133062,59.26509007,115.5669256,-105.275595,125.8582563,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cam hours,6.496946909,78.00209999,152.104095,-145.6071481,158.6010419,,,,,,,,,,,,,,,,,,,,,,,,,
